cod 	 tweetsemente 	 tweet 	 hashtag 	 seq-cx-alta 	 spcner_nome 	 spcner_local
93 	 Dois projetos importantíssimos aprovados agora há pouco na Câmara: autonomia do Banco Central e Nova Lei Cambial! Apesar das obstruções, corpo mole e má vontade de quem só quer atrapalhar, vencemos cada obstáculo mais uma vez. Quem ganha é o Brasil! 	 @marcelvanhattem Viu @marcelvanhattem o Br ganha quando retiramos os ratos dos porões, agora é um processo lento, contudo iniciamos em 2018 e vamos combater os ratos em 22, até nos livrar dessas pragas que atrasam o Brasil, provoque a prisão em segunda instância e o fim do Foro, sem do Estudante. 	 0 	 0 	 0 	 1
94 	 Dois projetos importantíssimos aprovados agora há pouco na Câmara: autonomia do Banco Central e Nova Lei Cambial! Apesar das obstruções, corpo mole e má vontade de quem só quer atrapalhar, vencemos cada obstáculo mais uma vez. Quem ganha é o Brasil! 	 @marcelvanhattem Ótimo. E estamos só na primeira semana do novo comando no Congresso. Nem todas as reformas e medidas urgentes que faltam serão adotadas assim de rápido, mas estou otimista vendo como o Brasil começa se reativar após 2 anos perdidos com brigas entre Maia intransigente e o governo. 	 0 	 0 	 0 	 1
95 	 Dois projetos importantíssimos aprovados agora há pouco na Câmara: autonomia do Banco Central e Nova Lei Cambial! Apesar das obstruções, corpo mole e má vontade de quem só quer atrapalhar, vencemos cada obstáculo mais uma vez. Quem ganha é o Brasil! 	 @marcelvanhattem Lendo isso, fica parecendo que foram vcs que colocaram essas pautas no congresso... Deputado, seja mais honesto, quando é pra descer a madeira no Bolsonaro vc faz isso com maestria, agora, quando é pra elogiar não sai nada... vc está cada mais parecido com @joaoamoedonovo 🤮🤮 	 0 	 0 	 1 	 1
96 	 A Câmara pode ajudar o Brasil, mais uma vez, a reforçar seu compromisso com a democracia. Não podemos permitir que grupos bolsonaristas continuem perpetuando a ideia de fechamento de instituições como o Congresso Nacional e o STF. 	 @RodrigoMaia Infelizmente estamos indo para um caminho perigoso e que vai ser preciso ser tomado, as forças armadas sem se pronunciar diante dessa situação o JB por enquanto também não pode, aí vai caber para o povo uma revolta contra o STF e políticos corruptos, mesmo que seja nas armas. 	 0 	 0 	 0 	 1
97 	 A Câmara pode ajudar o Brasil, mais uma vez, a reforçar seu compromisso com a democracia. Não podemos permitir que grupos bolsonaristas continuem perpetuando a ideia de fechamento de instituições como o Congresso Nacional e o STF. 	 @RodrigoMaia Precisa fechar esta toca de morcegos, vampiros  Onde ja se viu um ministro querer mandar no Brasil, vocês se fala em ditadura, olha bem para o que está acontecendo, antes uma ditadura de coturno e roupas verdes ,do que uma de togas, onde são atendidos a vontade dos vampiros. 	 0 	 0 	 0 	 1
98 	 A Câmara pode ajudar o Brasil, mais uma vez, a reforçar seu compromisso com a democracia. Não podemos permitir que grupos bolsonaristas continuem perpetuando a ideia de fechamento de instituições como o Congresso Nacional e o STF. 	 @RodrigoMaia Na moral Rodrigo, quem é você pra falar o que a Câmara deve ou não fazer? Você é um covarde traidor que sentou em cima de 60 processos de impeachment e fez com que o Brasil virasse esse inferno 	 0 	 0 	 1 	 1
99 	 A Câmara pode ajudar o Brasil, mais uma vez, a reforçar seu compromisso com a democracia. Não podemos permitir que grupos bolsonaristas continuem perpetuando a ideia de fechamento de instituições como o Congresso Nacional e o STF. 	 @RodrigoMaia Vc tem medo safado porque tem esse tão gordo corrupto preso com os bandidos togados do STF suíno? Quer dizer que podemos deixar bandidos pegos em.flagrante com dinheiro roubado solto até mesmo assasina do marido exercer sua função mas não podemos permitir que um deputado exerça 	 0 	 0 	 1 	 1
100 	 A Câmara pode ajudar o Brasil, mais uma vez, a reforçar seu compromisso com a democracia. Não podemos permitir que grupos bolsonaristas continuem perpetuando a ideia de fechamento de instituições como o Congresso Nacional e o STF. 	 @RodrigoMaia Mais uma vez as Aves da Rapinagem do Senado e Câmara Federal com total conivencia com os Bandidos da Toga, demonstram toda sua subserviência e covardia com a Quadrilha da Toga, pelo fato de grande parte está com " rabo preso"  no Covil, que se apossou da Suprema Côrte.  Vergonha 	 0 	 0 	 1 	 1
101 	 A PEC inicialmente da imunidade foi sendo alterada conforme ia tramitando. Ao final restou clara a falta de apoio e ela acabou nem sendo votada.  Era para resguardar as falas de parlamentares, terminou sendo para resguardar eventuais crimes.  Desta maneira, sou contra. 	 @BolsonaroSP Cara, na boa. Aquilo tava bem estranho desde o começo. Acabou que essa pac se tornou um documento que defendia corrupto e vagabundo. Quando forem fazer algo dessa magnitude, vejam e leiam o texto, tenham a certeza que você não ta dando chapéu na população. 	 0 	 0 	 0 	 1
102 	 A PEC inicialmente da imunidade foi sendo alterada conforme ia tramitando. Ao final restou clara a falta de apoio e ela acabou nem sendo votada.  Era para resguardar as falas de parlamentares, terminou sendo para resguardar eventuais crimes.  Desta maneira, sou contra. 	 @BolsonaroSP Mentira seu vagabundo, a pec da impunidade já era isso msm e q vcs queriam aprovar as pressas, mas ainda bem q temos o Kim o mbl e o pessoal do novo q se depender de vcs Bolsonaristas a corrupção só aumenta e o privilégios de vcs tbm. 	 0 	 0 	 0 	 1
103 	 A PEC inicialmente da imunidade foi sendo alterada conforme ia tramitando. Ao final restou clara a falta de apoio e ela acabou nem sendo votada.  Era para resguardar as falas de parlamentares, terminou sendo para resguardar eventuais crimes.  Desta maneira, sou contra. 	 @BolsonaroSP Agora né... Quem.manda neste pais é o #stf  Antes os deputados os colocaram no bolso, hj com gavetas cheias de processos ou fazem o que eles querem, nisso envolvido mta propina, ou eles enlouquecem...até legislam. 	 1 	 0 	 0 	 0
104 	 A PEC inicialmente da imunidade foi sendo alterada conforme ia tramitando. Ao final restou clara a falta de apoio e ela acabou nem sendo votada.  Era para resguardar as falas de parlamentares, terminou sendo para resguardar eventuais crimes.  Desta maneira, sou contra. 	 @BolsonaroSP Os deputados cagaram é centaram em cima do artigo 53 q ja da imunidade aos deputados é muita filadaputagens p queimar o deputado Daniel e agradar o STF poderia os deputados ter soltado o Daniel e mandado p o Conselho de ética e não precisavam desta nova merda pára limpar a outra 	 0 	 0 	 1 	 1
105 	 A PEC inicialmente da imunidade foi sendo alterada conforme ia tramitando. Ao final restou clara a falta de apoio e ela acabou nem sendo votada.  Era para resguardar as falas de parlamentares, terminou sendo para resguardar eventuais crimes.  Desta maneira, sou contra. 	 @BolsonaroSP Quem não deve, não teme e é por isso que privilégios corrompem.  Você é a favor do foro privilegiado (prometeu uma coisa em 2017 e fez outra em 2021) e é a favor do Super Foro, ou seja, é a favor de blindar políticos p/ práticas corruptas.  Isto diz muito sobre a sua pessoa!! 	 0 	 0 	 0 	 0
106 	 Se o General Silva e Luna fizer 10% na Petrobrás o que ele fez na Itaipu, o Brasil vai decolar.  E @jairbolsonaro está dentro da sua prerrogativa.  Confie verá. 	 @CarlaZambelli38 @jairbolsonaro Quem sabe né o seu Jair da uma dentro. O dublê de ministro da saúde tá sendo um fiasco, um fracasso, uma vergonha nacional.  Uma coisa é usina hidroelétrica outra coisa é a Petrobrás. Veremos. 	 0 	 0 	 0 	 1
107 	 Se o General Silva e Luna fizer 10% na Petrobrás o que ele fez na Itaipu, o Brasil vai decolar.  E @jairbolsonaro está dentro da sua prerrogativa.  Confie verá. 	 @CarlaZambelli38 @jairbolsonaro Prerrogativa não lhe da o direito usar a empresa para populismo barato!! Só na sexta houve perda d 30 bilhões!!! Pode perder 100 bilhões o q é pior q petrolão causado pelo pt!! Me responda a isso nobre deputada... 	 0 	 0 	 0 	 0
108 	 Se o General Silva e Luna fizer 10% na Petrobrás o que ele fez na Itaipu, o Brasil vai decolar.  E @jairbolsonaro está dentro da sua prerrogativa.  Confie verá. 	 @CarlaZambelli38 @jairbolsonaro Um Deputado Federal, com imunidade parlamentar, garantida na Constituição está preso por “opinar”. Essa deve ser sua luta. Nada além disso. Liberdades fundamentais retiradas. Se liga Deputada. 	 0 	 0 	 1 	 1
109 	 Se o General Silva e Luna fizer 10% na Petrobrás o que ele fez na Itaipu, o Brasil vai decolar.  E @jairbolsonaro está dentro da sua prerrogativa.  Confie verá. 	 @CarlaZambelli38 @jairbolsonaro SE ISSO ACONTECER EU QUERO ATE VER O NOME DE BCS DAQUI A UM ANO... EMBORA O TANTO Q BCS ESTAO ROUBANDO PODE IR PARA UM PARAISO FISCAL. E MUDAR ATE DE NOME NE. QUEM VAI FICA FUDIDO MESMO E O POVO QUE NAO TERA DINHEIRO PARA IR EMBORA. 	 0 	 1 	 0 	 1
110 	 Se o General Silva e Luna fizer 10% na Petrobrás o que ele fez na Itaipu, o Brasil vai decolar.  E @jairbolsonaro está dentro da sua prerrogativa.  Confie verá. 	 @CarlaZambelli38 @jairbolsonaro Kkk gasosa a 5,09 reais e tu pede p ter confiança ainda . Deputada,2 anos e nada mudou , o BANDO domina e o mito ou melhor ,o MINTO JA SE RENDEU AO SISTEMA P PROTEJER O FILHOTE LADRÃOZINHO,QTO AOS GALS IMPRESTÁVEIS CAGAM E ANDAM P POVO ,O FORO SAO PAULO VENCEU E NÓS SIFU...... 	 0 	 1 	 0 	 1
111 	 Estou fazendo pesquisa minuciosa (vídeos e postagens) sobre todos deputados do PT, PSOL, PCdoB e demais partidos de esquerda q ofenderam a honra do PR Bolsonaro e deputados aliados. Levarei tudo ao Conselho de Ética já q agora será ferro e fogo. Pau q dá em Chico dá em Francisco. 	 @carlosjordy Parabéns, deputado!  A direita precisa parar de reclamar e começar a agir!  Onde está o POVO pressionando o SENADO pelo impeachment dos vagabundos do SSTF?  Nos EUA, derrubaram Trump com uma fraude grotesca pq o POVO não reagiu!🤷🏻\u200d♂️  Precisamos fortalecer o PR Bolsonaro! 	 0 	 1 	 0 	 1
112 	 Estou fazendo pesquisa minuciosa (vídeos e postagens) sobre todos deputados do PT, PSOL, PCdoB e demais partidos de esquerda q ofenderam a honra do PR Bolsonaro e deputados aliados. Levarei tudo ao Conselho de Ética já q agora será ferro e fogo. Pau q dá em Chico dá em Francisco. 	 @carlosjordy Os poderosos que movimentaram seus peões contra o deputado Daniel Silveira e todas as vítimas dos inquéritos do fim do mundo, fazem cara de paisagem, pedindo por mais reformas?   Terão que primeiro resolver esse imbróglio. É essa música que tocam para o PR @jairbolsonaro ? 	 0 	 0 	 1 	 1
113 	 Estou fazendo pesquisa minuciosa (vídeos e postagens) sobre todos deputados do PT, PSOL, PCdoB e demais partidos de esquerda q ofenderam a honra do PR Bolsonaro e deputados aliados. Levarei tudo ao Conselho de Ética já q agora será ferro e fogo. Pau q dá em Chico dá em Francisco. 	 @carlosjordy Vai achar exatamente 364 vassalos do stf, com certeza. Aí sim ficaria bom, somente 130 representantes do povo, além de baixar os custos para o Brasil em milhões por mês. @camaradeputados tem que punir todos os políticos que agiram da mesma forma. Amémmmmmmm 	 0 	 0 	 1 	 1
114 	 Estou fazendo pesquisa minuciosa (vídeos e postagens) sobre todos deputados do PT, PSOL, PCdoB e demais partidos de esquerda q ofenderam a honra do PR Bolsonaro e deputados aliados. Levarei tudo ao Conselho de Ética já q agora será ferro e fogo. Pau q dá em Chico dá em Francisco. 	 @carlosjordy Maravilha Deputado. Monta um arcabouço jurídico para qualquer contestação e para respaldar essa cassação de mandato com base nas deliberações do Ministro Alexandre de Moraes. O placar de 11 a 0 para a permanência da prisão do Daniel é suficiente para servir de jurisprudência. 	 0 	 0 	 1 	 1
115 	 Estou fazendo pesquisa minuciosa (vídeos e postagens) sobre todos deputados do PT, PSOL, PCdoB e demais partidos de esquerda q ofenderam a honra do PR Bolsonaro e deputados aliados. Levarei tudo ao Conselho de Ética já q agora será ferro e fogo. Pau q dá em Chico dá em Francisco. 	 @carlosjordy Deputado será perda de tempo, porque antes não havia esta comissão. O melhor a se fazer é aguardar; porque certamente terá algum esquerdista que dirá os adjetivos: milicianos, genocida e etc... esse pessoal da esquerda é tão desequilibrado quanto suas próprias idéias. 	 0 	 0 	 1 	 0
116 	 Bolsonaro descumpre promessa e não corrige tabela do IR. Quem ganha mais de R$ 1.900 tem de pagar. Já quem ganha milhões em dividendos segue isento. É a tônica desse governo, o trabalhador paga mais e ricos pagam menos, jatinhos e iates não são taxados. 	 @gleisi Se tudo que o PT roubou ao longo desses anos fosse devolvido ao povo, o país não estaria com está,cheio de dívidas.  Pare de fazer as pessoas de massa de manobra, uma hora Deus cobrará tudo que fazem em desfavor do povo, mas em benefício próprio. Tenha vergonha na cara. 	 0 	 0 	 1 	 1
117 	 Bolsonaro descumpre promessa e não corrige tabela do IR. Quem ganha mais de R$ 1.900 tem de pagar. Já quem ganha milhões em dividendos segue isento. É a tônica desse governo, o trabalhador paga mais e ricos pagam menos, jatinhos e iates não são taxados. 	 @gleisi Prezada coxa vc não tem vergonha nessa cara reformada com dinheiro público?? A merda do seu partido que se diz do povo não fez nada disso e ainda enfiou dinheiro nosso no rabo do joesley do eike e do Marcelo. Esse discursinho vagabundo não cola mais. 	 0 	 0 	 0 	 1
118 	 Bolsonaro descumpre promessa e não corrige tabela do IR. Quem ganha mais de R$ 1.900 tem de pagar. Já quem ganha milhões em dividendos segue isento. É a tônica desse governo, o trabalhador paga mais e ricos pagam menos, jatinhos e iates não são taxados. 	 @gleisi Mas também deputada, com essa oposição que tudo que o governo federal faz vocês acham que está errado. Imagine se o povo estivesse todos seguindo o FIQUE EM CASA, A ECONOMIA A GENTE VER DEPOIS. Sou a favor que sejam seguidos os protocolos: máscara, lavar as mãos e não aglomerar. 	 0 	 1 	 0 	 1
119 	 Bolsonaro descumpre promessa e não corrige tabela do IR. Quem ganha mais de R$ 1.900 tem de pagar. Já quem ganha milhões em dividendos segue isento. É a tônica desse governo, o trabalhador paga mais e ricos pagam menos, jatinhos e iates não são taxados. 	 @gleisi Nobre deputada me responda uma coisa, pq não dá o exemplo e começa a cortar na própria carne, abrindo mão de todos os privilégios que tem ficando somente com o salário? Com isso seus pares fariam o mesmo, aí sim o que vc disser terá algum sentido,.fora isso pura hipocrisia 	 0 	 0 	 0 	 1
120 	 Bolsonaro descumpre promessa e não corrige tabela do IR. Quem ganha mais de R$ 1.900 tem de pagar. Já quem ganha milhões em dividendos segue isento. É a tônica desse governo, o trabalhador paga mais e ricos pagam menos, jatinhos e iates não são taxados. 	 @gleisi Eu até aceitaria esta opinião vinda de outra pessoa, mas da presidente de um partido que governou o país por quase 15 anos e, tendo tudo pra fazer as reformas, não as fez (tributária inclusive), soa um tanto hipócrita pro meu gosto. @gleisi pra cima de “moi”? #hipocrisiapetista 	 1 	 0 	 1 	 0
121 	 Dezoito (DEZOITO) governadores assinaram carta repudiando a MENTIRA de Bolsonaro sobre ter repassado mais de R$ 830 bi aos estados. 	 @jandira_feghali Aposto que Claudio Castro, Zema Caiado, Ratinho estão entre os que não assinaram, acertei? Sou Carioca e penso sempre que merda que fizemos pra ter Parido gente como Bolsonaro, Cláudio Castro, Carluxo, Flavio Bolsonaro,Daniel Silveira, Jordy e tantos lixos mais....Pedra na cruz? 	 0 	 0 	 1 	 1
122 	 Dezoito (DEZOITO) governadores assinaram carta repudiando a MENTIRA de Bolsonaro sobre ter repassado mais de R$ 830 bi aos estados. 	 @jandira_feghali E esses mesmos governadores fizeram uma carta pra dizer aonde foi gasto o valor enviado pelo Presidente???? Ahhh sim, respiradores em casa de vinho, superfaturados, hospitais de campanha sem utilização.....ta "Serto" 	 0 	 0 	 0 	 1
123 	 Dezoito (DEZOITO) governadores assinaram carta repudiando a MENTIRA de Bolsonaro sobre ter repassado mais de R$ 830 bi aos estados. 	 @jandira_feghali Dragão entra no site transparência e para de ser hipocrita esses 18 estao se borrando todo para explicarem como gastaram essa grana toda. Vcs querem criar narrativas contra mais nao conseguem. Pensa que estão li dando com o analfabeto do lula 	 0 	 0 	 1 	 1
124 	 Dezoito (DEZOITO) governadores assinaram carta repudiando a MENTIRA de Bolsonaro sobre ter repassado mais de R$ 830 bi aos estados. 	 @jandira_feghali OI FANTASMA, VC APARECE DE VEZ ENQDO PRA ATACAR O PRESIDENTE DA MAIORIA DOS BRASILEIROS ????? sabe o que vc tem que fazer, PROVAR QUE É MENTIRA  ... vcs acham mesmo que vai nos seduzir com NARRATIVAS ? E VC, JÁ PAGOU FUNCIONÁRIOS QUE ENTRARAM CONTRA VC NA JUSTIÇA ? 	 0 	 1 	 0 	 0
125 	 Dezoito (DEZOITO) governadores assinaram carta repudiando a MENTIRA de Bolsonaro sobre ter repassado mais de R$ 830 bi aos estados. 	 @jandira_feghali Mentira? Processa ele então... memorando... kkkk  Falta vergonha na cara.  Se ele mentiu sobre coisa tão séria pode pedir a saída dele. PROCESSA...  Mas não vão fazer isso. Pq é verdade. Vc mente para seus eleitores. 	 0 	 1 	 1 	 1
126 	 Estou, junto com colegas do NOVO e do Cidadania, há 5 horas segurando a votação da PEC da Impunidade com requerimentos de obstrução e questões de ordem. O painel mostra que a demora está fazendo eles perderem votos, cada vez menos deps votam. VAMOS ATÉ O FINAL. 	 @KimKataguiri Parabéns cara, Deus te abençoe sempre.  Certeza que isso será lembrado caso você queira se reeleger, mantenha firme, se mantenha firme!  O país tá a beira do precipício e quem sofre somos nós. Força!!! 	 0 	 0 	 0 	 1
127 	 Estou, junto com colegas do NOVO e do Cidadania, há 5 horas segurando a votação da PEC da Impunidade com requerimentos de obstrução e questões de ordem. O painel mostra que a demora está fazendo eles perderem votos, cada vez menos deps votam. VAMOS ATÉ O FINAL. 	 @KimKataguiri Então eu espero que seja votada esta semana (Pra ganhar ou pra perder). Porque pagar 33 mil para cada um dos vagabundos ficarem lá fazendo obstrução  e não votando nada é muito dinheiro. Se eu for para o meu trabalho e ficar lá fazendo obstrução e não produzir nada... 	 0 	 0 	 0 	 0
128 	 Estou, junto com colegas do NOVO e do Cidadania, há 5 horas segurando a votação da PEC da Impunidade com requerimentos de obstrução e questões de ordem. O painel mostra que a demora está fazendo eles perderem votos, cada vez menos deps votam. VAMOS ATÉ O FINAL. 	 @KimKataguiri @MBLivre OS HOSPITAIS ESTÃO COLAPSANDO. PAREM DE VOTAR ESSA PEC DA VERGONHA E FAÇAM O QUE É PRA FAZER DE FATO. HOJE MAIOR NÚMERO DE MORTES EM UM DIA. O QUE DEU NA CABEÇA DOS DEPUTADOS????? REVOLTA COM ESSE DESCASO. 	 0 	 1 	 1 	 1
129 	 Estou, junto com colegas do NOVO e do Cidadania, há 5 horas segurando a votação da PEC da Impunidade com requerimentos de obstrução e questões de ordem. O painel mostra que a demora está fazendo eles perderem votos, cada vez menos deps votam. VAMOS ATÉ O FINAL. 	 @KimKataguiri Pra mim vc é um cara sem personalidade. Votei em vc pra fazer o era melhor e possível. Mais vc é o mamãe falei só fazem ao contrário. não importa se é Bolsonaro ou lula ou a puta que te pariu meu brother. O que importa é que somos nós os brasileiros que precisamos de vcs 	 0 	 0 	 0 	 1
130 	 Estou, junto com colegas do NOVO e do Cidadania, há 5 horas segurando a votação da PEC da Impunidade com requerimentos de obstrução e questões de ordem. O painel mostra que a demora está fazendo eles perderem votos, cada vez menos deps votam. VAMOS ATÉ O FINAL. 	 @KimKataguiri Precisamos tds deixar bem claro que essa @camaradeputados ñ representa o povo e que esses parlamentares são responsáveis pelas mortes diárias de brasileiros. É imoral que estejam votando um projeto de lei para se protegerem da lei em vez de salvar a vida de brasileiros! 	 0 	 0 	 0 	 0
131 	 Imagina se Bolsonaro fosse tão eficiente em comprar vacina como é em liberar arma... 	 @MarceloFreixo O cara sabota a vacina e incentiva e facilita a aquisição de armas, e depois não quer ser taxado de genocida  o golpe tá aí, cai quem quer  em 2018 caíram no golpe do "acabou a mamata"  vamos ver qual vai ser o próximo 	 0 	 0 	 0 	 0
132 	 Imagina se Bolsonaro fosse tão eficiente em comprar vacina como é em liberar arma... 	 @MarceloFreixo Larga de se babação, não existe vacinas para atender os países ricos que podem comprar toda a produção do mundo e pagar. Se tivesse vacina sobrando os EUA já tinha comprado tudo, pois é Rico o suficiente para tal! 	 0 	 0 	 1 	 1
133 	 Imagina se Bolsonaro fosse tão eficiente em comprar vacina como é em liberar arma... 	 @MarceloFreixo Imagina se você fosse um pouco menos hipocrita? Se abrisse mão das suas verbas de gabinete??? Se reduzisse seus vencimentos parlamentares??? Se abrisse mão do fundo eleitoral para o custeio do auxílio emergencial??? E se abrisse mão da sua segurança armada?? POPULISTA! HIPOCRITA 	 0 	 1 	 0 	 1
134 	 Imagina se Bolsonaro fosse tão eficiente em comprar vacina como é em liberar arma... 	 @MarceloFreixo Tá com medinho de armas por que, CANALHA? Povo desarmado é mais fácil ver ser dominado né? Vocês da esquerda são uma desgraça. Tem de ser eliminados do planeta. Bando de vagabundos desocupados. Apareçam um dia na minha propriedade eu meto bala sem dó 	 0 	 1 	 0 	 1
135 	 Imagina se Bolsonaro fosse tão eficiente em comprar vacina como é em liberar arma... 	 @MarceloFreixo Diz que apoiadores do PR estão se armando e não diz nada  sobre  seus apoiadores que estão armados a muito tempo , roubando bancos , sequestrado e matando inocentes , traficando drogas ETC hipócrita os seus parças podem tudo e apoiadores de Bolsonaro não podem nem se defender . 	 0 	 0 	 0 	 1
136 	 Lamento que parlamentares que dizem defender o povo atrasem o trabalho de comissões fundamentais, como a Comissão de Ética, por exemplo. Há deputados enrolados com a justiça! O PSOL, em especial, precisa parar de atrasar o país. E a Câmara precisa andar para que o país avance! https://t.co/VmlpJVTV6M 	 @marcelvanhattem Hoje Dudu Bananinha (@BolsonaroSP) não teve como justificar a compra de 80 mil cervejas e 700 toneladas de picanha para os oficiais do @exercitooficial. Mas será que dessa vez o MINTO vai fazer uma live com cerveja e carne na mesa pra zombar da cara do povo? 	 0 	 1 	 0 	 0
137 	 Lamento que parlamentares que dizem defender o povo atrasem o trabalho de comissões fundamentais, como a Comissão de Ética, por exemplo. Há deputados enrolados com a justiça! O PSOL, em especial, precisa parar de atrasar o país. E a Câmara precisa andar para que o país avance! https://t.co/VmlpJVTV6M 	 @marcelvanhattem 👏👏👏👏diga se de passagem esse psol ,só atrasa o país ,a sua bancada é cega, julgam de acordo com autoria dos pl ,se for do marcel ou da Bia kicis por ex,já são contra,sem ler o texto do pl !Isso é atraso moral e atraso nos avanços para o país,e resume em atraso para eles tb 😱 	 0 	 0 	 0 	 1
138 	 Lamento que parlamentares que dizem defender o povo atrasem o trabalho de comissões fundamentais, como a Comissão de Ética, por exemplo. Há deputados enrolados com a justiça! O PSOL, em especial, precisa parar de atrasar o país. E a Câmara precisa andar para que o país avance! https://t.co/VmlpJVTV6M 	 @marcelvanhattem Inadmissível o tratamento que a imprensa brasileira vem recebendo nos dias atuais dos políticos. Impedir o trabalho de jornalistas é atacar o nosso direito como cidadão de ser informado . O deputado @marcelvanhattem  vai fazer algo para impedir a remoção da imprensa de sua sala? 	 0 	 0 	 1 	 1
139 	 Lamento que parlamentares que dizem defender o povo atrasem o trabalho de comissões fundamentais, como a Comissão de Ética, por exemplo. Há deputados enrolados com a justiça! O PSOL, em especial, precisa parar de atrasar o país. E a Câmara precisa andar para que o país avance! https://t.co/VmlpJVTV6M 	 @marcelvanhattem Min Paulo Guedes, n sabe como conseguir $ p pagar o A/Emergencial, aos trabalhadores vítimas d "fraudemia". Muito simples! Reduzindo pela metade os salários d marajás, mordomias, privilégios intermináveis d políticos e togados. Vai dar p pagar 2 mil reais d auxílio! Tranquilo!!! 	 0 	 0 	 0 	 1
140 	 Lamento que parlamentares que dizem defender o povo atrasem o trabalho de comissões fundamentais, como a Comissão de Ética, por exemplo. Há deputados enrolados com a justiça! O PSOL, em especial, precisa parar de atrasar o país. E a Câmara precisa andar para que o país avance! https://t.co/VmlpJVTV6M 	 @marcelvanhattem @psol50 e seus agregados como @kimpkat apenas tumultuam o País. Tipo criança mimada q tenta chutar a Bola no quintal daquele vizinho chato q. Não vai devolver a Bola pelo simples prazer de estragar a Brincadeira ! 	 0 	 0 	 1 	 1
141 	 Vacina eficaz para todo o povo. Auxílio emergencial voltando a ser pago. Reformas estruturais sendo aprovadas. Prometemos e estamos cumprindo! Parabéns presidente @ArthurLira_!! https://t.co/rSMesOWV7I 	 @marcofeliciano @ArthurLira_ Quando é que os esquerdistas vão parar de querer entregar o país deles para os bandidos e para os esquerdistas ditatoriais estrangeiros?  Vontade de ser escravo que eu não entendo.  É traição conjugada com leniência que se chama? 	 0 	 0 	 0 	 0
142 	 Vacina eficaz para todo o povo. Auxílio emergencial voltando a ser pago. Reformas estruturais sendo aprovadas. Prometemos e estamos cumprindo! Parabéns presidente @ArthurLira_!! https://t.co/rSMesOWV7I 	 @marcofeliciano @ArthurLira_ Vacina eficaz é vacina no braço!  Assisti ontem o Ministro da Saúde no Senado!  Doloroso ouvir um Senador falando que ele , o Ministro, assumiu em maio e só em dezembro foi fazer a primeira manifestação de compra de Vacina! 	 0 	 0 	 1 	 1
143 	 Vacina eficaz para todo o povo. Auxílio emergencial voltando a ser pago. Reformas estruturais sendo aprovadas. Prometemos e estamos cumprindo! Parabéns presidente @ArthurLira_!! https://t.co/rSMesOWV7I 	 @marcofeliciano @ArthurLira_ Vocês acabarão fazendo merda com essa ideia de se meter com a Anvisa e continuar a impressão de $.  Vá pesquisar sobre o rotavirus e a primeira vacina. Vá pesquisar sobre o % de óbitos de vacinados contra o Influenza, em 2019 foi de 20 %. 	 0 	 0 	 0 	 1
144 	 Vacina eficaz para todo o povo. Auxílio emergencial voltando a ser pago. Reformas estruturais sendo aprovadas. Prometemos e estamos cumprindo! Parabéns presidente @ArthurLira_!! https://t.co/rSMesOWV7I 	 @marcofeliciano @ArthurLira_ Se temos vacina devemos agradecer ao Butantã e não ao genocida ,se vai ter prorrogação do auxílio é graças a alguns deputados que foram pra cima ,e não o genocida . então deixa de ser mentiroso e puxa saco e fale a verdade. 	 0 	 0 	 0 	 1
145 	 Vacina eficaz para todo o povo. Auxílio emergencial voltando a ser pago. Reformas estruturais sendo aprovadas. Prometemos e estamos cumprindo! Parabéns presidente @ArthurLira_!! https://t.co/rSMesOWV7I 	 @marcofeliciano @PatriciaVV27 @ArthurLira_ Canso de falar,  as reformas que precisamos são: -Flexibilização de posse de armas para o cidadão de bem, -Combate ao comunismo e socialismo,  - Voto Auditável, -Presos trabalhando em presidios,  - Fim de visitas íntimas. 	 0 	 0 	 0 	 1
146 	 Mais de 250 mil mortos pela covid e o governo tratando de uma agenda fake. Deveriam direcionar os esforços para imunizar a população, mas isso nunca foi prioridade deste governo. Minha solidariedade às famílias. https://t.co/tPS1pqhKpe 	 @RodrigoMaia Brasil hoje: 9MILHÕES e 300MIL pessoas CURADAS do Coronavírus. Somando as 750.000 atualmente em tratamento, temos um índice de cura acima de 97% e um índice de óbitos/MM menor do que os USA, Inglaterra, França, Italia, Espanha. Essa é a verdade, apesar da imprensa do  terror. 	 0 	 1 	 0 	 1
147 	 Mais de 250 mil mortos pela covid e o governo tratando de uma agenda fake. Deveriam direcionar os esforços para imunizar a população, mas isso nunca foi prioridade deste governo. Minha solidariedade às famílias. https://t.co/tPS1pqhKpe 	 @RodrigoMaia Rodrigo Maia, você hoje já falou que se arrepende do apoio a Bolsonaro no segundo turno. Parabéns por admitir isto. Agora... quando virá o arrependimento de não ter ao menos colocado para a frente algum dos pedidos de Impeachment? 	 0 	 0 	 1 	 1
148 	 Mais de 250 mil mortos pela covid e o governo tratando de uma agenda fake. Deveriam direcionar os esforços para imunizar a população, mas isso nunca foi prioridade deste governo. Minha solidariedade às famílias. https://t.co/tPS1pqhKpe 	 @RodrigoMaia Cadeia ...deve ter algo q se possa fazer p freiar e afastar este cara de lá. É nojento ver q faz, debochado... ninguém vet e faz nada. É o povo morrendo e logo teremos novamente falta de oxigênio. Assassinos 	 0 	 0 	 1 	 0
